"family","description"
"PF00001","7tm_1"
"PF00002","7 transmembrane receptor (Secretin family)"
"PF00003","7 transmembrane sweet-taste receptor of 3 GCPR"
"PF00004","ATPase family associated with various cellular activities (AAA)"
"PF00005","ABC transporter"
"PF00006","ATP synthase alpha/beta family, nucleotide-binding domain"
"PF00008","EGF"
"PF00009","Elongation factor Tu GTP binding domain"
"PF00010","Helix-loop-helix DNA-binding domain"
"PF00011","Hsp20/alpha crystallin family"
"PF00012","Hsp70 protein"
"PF00013","KH domain"
"PF00014","Kunitz_BPTI"
"PF00015","MCPsignal"
"PF00016","RuBisCO_large"
"PF00017","SH2"
"PF00018","SH3 domain"
"PF00021","u-PAR/Ly-6 domain"
"PF00022","Actin"
"PF00023","Ankyrin repeat"
"PF00024","PAN domain"
"PF00025","ADP-ribosylation factor family"
"PF00026","Eukaryotic aspartyl protease"
"PF00027","Cyclic nucleotide-binding domain"
"PF00030","Beta/Gamma crystallin"
"PF00031","Cystatin domain"
"PF00032","Cytochrome b(C-terminal)/b6/petD"
"PF00033","Cytochrom_B_N"
"PF00034","Cytochrome c"
"PF00035","Double-stranded RNA binding motif"
"PF00036","EF hand"
"PF00037","4Fe-4S binding domain"
"PF00038","Intermediate filament protein"
"PF00040","Fibronectin type II domain"
"PF00041","Fibronectin type III domain"
"PF00042","Globin"
"PF00043","Glutathione S-transferase, C-terminal domain"
"PF00044","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
"PF00045","Hemopexin"
"PF00046","Homeobox domain"
"PF00050","Kazal-type serine protease inhibitor domain"
"PF00053","EGF-like, laminin"
"PF00055","Laminin N-terminal (Domain VI)"
"PF00056","lactate/malate dehydrogenase, NAD binding domain"
"PF00057","Low-density lipoprotein receptor domain class A"
"PF00058","Ldl_recept_b"
"PF00059","Lectin C-type domain"
"PF00060","Ligand-gated ion channel"
"PF00061","Lipocalin"
"PF00062","C-type lysozyme/alpha-lactalbumin family"
"PF00063","Myosin head (motor domain)"
"PF00064","Neuraminidase"
"PF00067","Cytochrome P450"
"PF00068","Phospholipase A2"
"PF00069","Protein kinase domain"
"PF00070","Pyridine nucleotide-disulphide oxidoreductase"
"PF00071","Ras family"
"PF00072","Response regulator receiver domain"
"PF00075","RNase H"
"PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"PF00077","Retroviral aspartyl protease"
"PF00078","Reverse transcriptase (RNA-dependent DNA polymerase)"
"PF00079","Serpin"
"PF00080","Copper/zinc superoxide dismutase (SODC)"
"PF00081","Iron/manganese superoxide dismutases, alpha-hairpin domain"
"PF00082","Subtilase family"
"PF00083","Sugar (and other) transporter"
"PF00084","Sushi domain (SCR repeat)"
"PF00085","Thioredoxin"
"PF00086","Thyroglobulin_1"
"PF00088","Trefoil"
"PF00089","Trypsin"
"PF00090","TSP_1"
"PF00091","Tubulin/FtsZ family, GTPase domain"
"PF00092","von Willebrand factor type A domain"
"PF00094","von Willebrand factor type D domain"
"PF00095","WAP-type (Whey Acidic Protein) 'four-disulfide core'"
"PF00096","Zinc finger, C2H2 type"
"PF00097","Zinc finger, C3HC4 type (RING finger)"
"PF00098","Zinc knuckle"
"PF00102","Protein-tyrosine phosphatase"
"PF00103","Hormone_1"
"PF00105","zf-C4"
"PF00106","short chain dehydrogenase"
"PF00107","Zinc-binding dehydrogenase"
"PF00108","Thiolase, N-terminal domain"
"PF00109","Beta-ketoacyl synthase, N-terminal domain"
"PF00111","2Fe-2S iron-sulfur cluster binding domain"
"PF00112","Papain family cysteine protease"
"PF00113","Enolase, C-terminal TIM barrel domain"
"PF00115","COX1"
"PF00116","COX2"
"PF00117","Glutamine amidotransferase class-I"
"PF00118","TCP-1/cpn60 chaperonin family"
"PF00119","ATP-synt_A"
"PF00120","Glutamine synthetase, catalytic domain"
"PF00121","Triosephosphate isomerase"
"PF00122","E1-E2 ATPase"
"PF00124","Photo_RC"
"PF00125","Core histone H2A/H2B/H3/H4"
"PF00126","HTH_1"
"PF00127","Blue (type 1) copper domain"
"PF00128","Alpha amylase, catalytic domain"
"PF00130","Phorbol esters/diacylglycerol binding domain (C1 domain)"
"PF00131","Metallothio"
"PF00132","Bacterial transferase hexapeptide (six repeats)"
"PF00133","tRNA synthetases class I (I, L, M and V)"
"PF00134","Cyclin, N-terminal domain"
"PF00135","Carboxylesterase family"
"PF00136","DNA polymerase family B"
"PF00137","ATP synthase subunit C"
"PF00139","Legume lectin domain"
"PF00140","Sigma70_r1_2"
"PF00141","Peroxidase"
"PF00142","4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family"
"PF00144","Beta-lactamase"
"PF00145","C-5 cytosine-specific DNA methylase"
"PF00146","NADHdh"
"PF00147","Fibrinogen beta and gamma chains, C-terminal globular domain"
"PF00148","Oxidored_nitro"
