"X","taxon","kingdom","phylum","class","order","family","genus"
1277,"Gigaspora rosea","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Gigasporaceae","Gigaspora"
293,"Rhizophagus cerebriforme",NA,NA,NA,NA,NA,NA
339,"Rhizophagus clarus","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
447,"Rhizophagus diaphanus","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Oehlia"
758,"Rhizophagus irregularis","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
439,"Batrachochytrium dendrobatidis","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,"Batrachochytrium"
1299,"Batrachochytrium salamandrivorans","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales",NA,"Batrachochytrium"
853,"Acephala macrosclerotiorum","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Acephala"
1286,"Amanita rubescens","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita"
348,"Boletus coccyginus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus"
478,"Boletus edulis","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus"
92,"Cantharellus anzutake",NA,NA,NA,NA,NA,NA
612,"Cenococcum geophilum","Fungi","Ascomycota","Dothideomycetes","Mytilinidiales","Gloniaceae","Cenococcum"
1628,"Choiromyces venosus","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Choiromyces"
147,"Cortinarius austrovenetus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
622,"Cortinarius glaucopus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius"
646,"Elaphomyces granulatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces"
822,"Gyrodon lividus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Paxillaceae","Gyrodon"
236,"Hebeloma brunneifolium","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma"
1292,"Hydnum rufescens","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Hydnum"
